repo,url,stars,language,archived,fork,pushedAt,connectedToCloud,cloudStatus,nxCloudId,usesLerna
carbon-design-system/carbon-charts,https://github.com/carbon-design-system/carbon-charts,1042,HTML,false,false,2026-06-25T07:19:39Z,false,not-connected,,true
openops-cloud/openops,https://github.com/openops-cloud/openops,1039,TypeScript,false,false,2026-06-26T05:56:56Z,false,opted-out,,false
stefanoslig/angular-ngrx-nx-realworld-example-app,https://github.com/stefanoslig/angular-ngrx-nx-realworld-example-app,1038,TypeScript,false,false,2026-06-19T10:38:34Z,false,not-connected,,false
trezor/trezor-suite,https://github.com/trezor/trezor-suite,1018,TypeScript,false,false,2026-06-27T16:21:56Z,true,legacy-accessToken,,false
argdown/argdown,https://github.com/argdown/argdown,1017,TypeScript,false,false,2026-06-21T20:59:32Z,false,opted-out,,true
nartc/mapper,https://github.com/nartc/mapper,1006,TypeScript,false,false,2026-06-26T19:18:56Z,true,legacy-accessToken,,false
srikanth235/privy,https://github.com/srikanth235/privy,993,TypeScript,false,false,2024-05-14T11:43:13Z,false,not-connected,,false
frzyc/genshin-optimizer,https://github.com/frzyc/genshin-optimizer,985,TypeScript,false,false,2026-06-26T12:31:22Z,false,not-connected,,false
vaadin/hilla,https://github.com/vaadin/hilla,984,Java,false,false,2026-06-27T03:15:52Z,false,not-connected,,false
RaspberryPiFoundation/blockly-samples,https://github.com/RaspberryPiFoundation/blockly-samples,976,JavaScript,false,false,2026-06-26T14:41:06Z,false,not-connected,,true
code-forge-io/react-router-devtools,https://github.com/code-forge-io/react-router-devtools,967,TypeScript,false,false,2026-06-19T11:00:25Z,false,not-connected,,false
nrwl/nx-examples,https://github.com/nrwl/nx-examples,963,TypeScript,false,false,2026-06-26T21:40:47Z,true,nxCloudId,6818fa611ce2ae97e1fc984f,false
otoyo/astro-notion-blog,https://github.com/otoyo/astro-notion-blog,954,Astro,false,false,2026-05-05T08:16:21Z,false,not-connected,,false
bitovi/react-to-web-component,https://github.com/bitovi/react-to-web-component,936,TypeScript,false,false,2026-05-22T21:29:35Z,false,not-connected,,false
argotorg/sourcify,https://github.com/argotorg/sourcify,935,TypeScript,false,false,2026-06-25T13:46:26Z,false,not-connected,,true
javierbrea/eslint-plugin-boundaries,https://github.com/javierbrea/eslint-plugin-boundaries,917,TypeScript,false,false,2026-06-27T17:04:27Z,false,unparseable,,false
open-telemetry/opentelemetry-js-contrib,https://github.com/open-telemetry/opentelemetry-js-contrib,912,TypeScript,false,false,2026-06-26T16:42:30Z,false,not-connected,,true
3Shain/Comen,https://github.com/3Shain/Comen,905,TypeScript,false,false,2023-03-08T03:20:28Z,false,not-connected,,false
julianpoy/RecipeSage,https://github.com/julianpoy/RecipeSage,905,TypeScript,false,false,2026-06-27T04:05:15Z,false,opted-out,,false
oku-ui/primitives,https://github.com/oku-ui/primitives,894,Vue,false,false,2026-06-24T03:27:42Z,false,not-connected,,false
byteburgers/react-native-autocomplete-input,https://github.com/byteburgers/react-native-autocomplete-input,870,TypeScript,false,false,2026-06-22T12:31:46Z,false,not-connected,,false
lukasbach/headless-tree,https://github.com/lukasbach/headless-tree,858,TypeScript,false,false,2026-05-31T00:07:17Z,true,legacy-accessToken,,true
TanStack/store,https://github.com/TanStack/store,857,TypeScript,false,false,2026-06-19T14:44:35Z,true,nxCloudId,65cc8227ddc7c22ebb07b2cf,false
angular-architects/module-federation-plugin,https://github.com/angular-architects/module-federation-plugin,849,TypeScript,false,false,2026-06-23T04:31:21Z,false,not-connected,,false
Oneirocom/Magick,https://github.com/Oneirocom/Magick,839,TypeScript,false,false,2025-06-24T18:36:14Z,true,legacy-accessToken,,false
llama-farm/llamafarm,https://github.com/llama-farm/llamafarm,833,Python,false,false,2026-06-10T11:08:19Z,true,nxCloudId,6890fca1e55dc20a336b5529,false
TanStack/ranger,https://github.com/TanStack/ranger,833,TypeScript,false,false,2026-05-13T20:12:07Z,false,not-connected,,false
taiga-family/ng-web-apis,https://github.com/taiga-family/ng-web-apis,820,TypeScript,false,false,2026-06-26T09:39:45Z,false,not-connected,,false
ngxtension/ngxtension-platform,https://github.com/ngxtension/ngxtension-platform,806,TypeScript,false,false,2026-05-12T23:19:22Z,true,nxCloudId,691362287ee27f635d6a2523,false
Canner/vulcan-sql,https://github.com/Canner/vulcan-sql,791,TypeScript,false,false,2024-07-01T02:57:10Z,false,not-connected,,false
SAP/spartacus,https://github.com/SAP/spartacus,780,TypeScript,false,false,2026-06-26T18:53:00Z,false,not-connected,,false
hwgilbert16/scholarsome,https://github.com/hwgilbert16/scholarsome,770,TypeScript,false,false,2026-06-24T02:31:44Z,true,legacy-accessToken,,false
jscutlery/semver,https://github.com/jscutlery/semver,768,TypeScript,false,false,2026-06-27T08:23:48Z,false,not-connected,,false
remusao/tldts,https://github.com/remusao/tldts,752,TypeScript,false,false,2026-06-25T04:03:05Z,false,not-connected,,true
mlightcad/cad-viewer,https://github.com/mlightcad/cad-viewer,744,TypeScript,false,false,2026-06-27T11:03:19Z,false,not-connected,,false
TanStack/pacer,https://github.com/TanStack/pacer,738,TypeScript,false,false,2026-06-27T13:36:17Z,true,nxCloudId,6932bc70f7d82526902f62fa,false
iway1/trpc-panel,https://github.com/iway1/trpc-panel,731,TypeScript,false,false,2024-01-23T19:34:05Z,true,legacy-accessToken,,false
Shopify/cli,https://github.com/Shopify/cli,717,TypeScript,false,false,2026-06-27T03:40:34Z,false,not-connected,,false
liveloveapp/hashbrown,https://github.com/liveloveapp/hashbrown,707,TypeScript,false,false,2026-02-26T20:44:15Z,true,nxCloudId,6807b3de17e7a8117e527793,false
fulls1z3/universal,https://github.com/fulls1z3/universal,700,TypeScript,false,false,2023-01-07T06:48:24Z,false,not-connected,,false
pagopa/io-app,https://github.com/pagopa/io-app,697,TypeScript,false,false,2026-06-26T22:45:58Z,false,not-connected,,false
qwikifiers/qwik-ui,https://github.com/qwikifiers/qwik-ui,695,TypeScript,false,false,2026-06-12T04:35:03Z,true,legacy-accessToken,,false
mozilla/fxa,https://github.com/mozilla/fxa,677,TypeScript,false,false,2026-06-27T03:45:16Z,false,opted-out,,false
microsoft/react-native-test-app,https://github.com/microsoft/react-native-test-app,667,TypeScript,false,false,2026-06-26T12:52:40Z,false,not-connected,,false
antvis/XFlow,https://github.com/antvis/XFlow,650,TypeScript,false,false,2026-01-04T03:27:31Z,false,not-connected,,false
TanStack/hotkeys,https://github.com/TanStack/hotkeys,638,TypeScript,false,false,2026-05-21T21:38:18Z,true,nxCloudId,69c86659c7b8022e1c5ead91,false
lgrammel/rubberduck-vscode,https://github.com/lgrammel/rubberduck-vscode,632,TypeScript,false,false,2024-05-07T04:25:00Z,false,not-connected,,false
pixijs-userland/spine,https://github.com/pixijs-userland/spine,626,TypeScript,false,false,2025-03-24T11:57:30Z,false,not-connected,,true
ljquan/opentu,https://github.com/ljquan/opentu,624,TypeScript,false,false,2026-06-11T02:28:32Z,false,not-connected,,false
KorzhCom/EasyData,https://github.com/KorzhCom/EasyData,622,TypeScript,false,false,2026-06-18T21:17:05Z,false,not-connected,,true
etherspot/skandha,https://github.com/etherspot/skandha,612,TypeScript,false,false,2026-01-22T20:02:14Z,false,not-connected,,true
serenity-js/serenity-js,https://github.com/serenity-js/serenity-js,612,TypeScript,false,false,2026-06-27T09:47:09Z,false,not-connected,,true
klis87/normy,https://github.com/klis87/normy,609,TypeScript,false,false,2026-02-16T10:35:19Z,false,not-connected,,true
llm-tools/embedJs,https://github.com/llm-tools/embedJs,604,TypeScript,false,false,2026-06-26T13:23:18Z,true,nxCloudId,66f6d7217cbafe1e30563d6e,false
Comfy-Org/workflow_templates,https://github.com/Comfy-Org/workflow_templates,601,Python,false,false,2026-06-27T10:24:24Z,false,not-connected,,false
LedgerHQ/ledger-live,https://github.com/LedgerHQ/ledger-live,600,TypeScript,false,false,2026-06-27T14:53:02Z,false,not-connected,,false
react-auth-kit/react-auth-kit,https://github.com/react-auth-kit/react-auth-kit,597,TypeScript,false,false,2026-06-22T19:56:02Z,false,not-connected,,true
contentful/rich-text,https://github.com/contentful/rich-text,585,TypeScript,false,false,2026-06-24T09:40:18Z,false,not-connected,,true
ng-icons/ng-icons,https://github.com/ng-icons/ng-icons,577,TypeScript,false,false,2026-06-20T19:58:21Z,true,legacy-accessToken,,false
ng-primitives/ng-primitives,https://github.com/ng-primitives/ng-primitives,575,TypeScript,false,false,2026-06-22T16:55:26Z,false,not-connected,,false
